Loading files... 
  Starting triples_en.txt
  Finished triples_en.txt, still running: 0
Loaded 115722 facts in 1.08 s using 10 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.8
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 2 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  <20812>  ?a   => ?a  <20616>  ?b	0.142405063	0.584415584	0.957446809	45	77	47	?a	0.0	0.0	0.0
?b  <20308>  ?a   => ?a  <20616>  ?b	0.022151899	0.039325843	1	7	178	7	?a	0.0	0.0	0.0
?b  <21087>  ?a   => ?a  <20616>  ?b	0.037974684	0.110091743	0.857142857	12	109	14	?a	0.0	0.0	0.0
?b  <20587>  ?a   => ?a  <20587>  ?b	0.779874214	0.779874214	0.966861598	496	636	513	?b	0.0	0.0	0.0
?b  <20463>  ?a   => ?a  <20999>  ?b	0.907284768	0.931972789	1	137	147	137	?a	0.0	0.0	0.0
?b  <20251>  ?a   => ?a  <20999>  ?b	0.01986755	0.001241722	1	3	2416	3	?a	0.0	0.0	0.0
?a  <20427>  ?b   => ?a  <20999>  ?b	0.013245033	0.000815993	1	2	2451	2	?a	0.0	0.0	0.0
?b  <20468>  ?a   => ?a  <20918>  ?b	0.067510549	0.271186441	1	16	59	16	?b	0.0	0.0	0.0
?b  <20145>  ?a   => ?a  <20918>  ?b	0.012658228	0.15	1	3	20	3	?b	0.0	0.0	0.0
?a  <20711>  ?b   => ?a  <20918>  ?b	0.012658228	0.12	1	3	25	3	?b	0.0	0.0	0.0
?a  <21186>  ?b   => ?a  <20918>  ?b	0.063291139	0.049019608	0.9375	15	306	16	?b	0.0	0.0	0.0
?b  <20618>  ?a   => ?a  <20472>  ?b	0.031055901	0.789473684	1	15	19	15	?a	0.0	0.0	0.0
?b  <21073>  ?a   => ?a  <20472>  ?b	0.010351967	0.625	1	5	8	5	?a	0.0	0.0	0.0
?b  <20524>  ?a   => ?a  <20610>  ?b	0.1	0.058181818	0.8	16	275	20	?a	0.0	0.0	0.0
?b  <20580>  ?a   => ?a  <20580>  ?b	0.094527363	0.094527363	0.863636364	19	201	22	?b	0.0	0.0	0.0
?b  <20452>  ?a   => ?a  <20580>  ?b	0.024875622	0.000930233	1	5	5375	5	?b	0.0	0.0	0.0
?b  <20152>  ?a   => ?a  <20889>  ?b	0.489633174	0.508278146	0.82972973	307	604	370	?a	0.0	0.0	0.0
?b  <20603>  ?a   => ?a  <20995>  ?b	0.03649635	0.833333333	1	5	6	5	?a	0.0	0.0	0.0
