Loading files... 
  Starting triples_fr.txt
  Finished triples_fr.txt, still running: 0
Loaded 105998 facts in 0.95 s using 20 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.8
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 2 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?a  <20499>  ?b   => ?a  <19835>  ?b	0.018691589	0.571428571	1	4	7	4	?a	0.0	0.0	0.0
?b  <20308>  ?a   => ?a  <20130>  ?b	0.011058452	0.233333333	1	7	30	7	?a	0.0	0.0	0.0
?a  <20144>  ?b   => ?a  <20131>  ?b	0.019851117	0.413793103	0.888888889	24	58	27	?b	0.0	0.0	0.0
?a  <20256>  ?b   => ?a  <19902>  ?b	0.045714286	0.258064516	0.888888889	8	31	9	?b	0.0	0.0	0.0
?a  <19754>  ?b   => ?a  <19902>  ?b	0.04	0.132075472	0.875	7	53	8	?b	0.0	0.0	0.0
?b  <20008>  ?a   => ?a  <20326>  ?b	0.555	0.54950495	0.965217391	111	202	115	?a	0.0	0.0	0.0
?b  <19933>  ?a   => ?a  <20187>  ?b	0.659611993	0.660777385	0.956521739	374	566	391	?a	0.0	0.0	0.0
?a  <20501>  ?b   => ?a  <20038>  ?b	0.020761246	0.6	0.857142857	6	10	7	?a	0.0	0.0	0.0
?a  <20021>  ?b   => ?a  <20038>  ?b	0.01384083	0.142857143	1	4	28	4	?a	0.0	0.0	0.0
?b  <19705>  ?a   => ?a  <19919>  ?b	0.537015276	0.544696067	0.846296296	457	839	540	?b	0.0	0.0	0.0
?b  <19759>  ?a   => ?a  <20255>  ?b	0.02123424	0.533333333	0.941176471	32	60	34	?a	0.0	0.0	0.0
?b  <20295>  ?a   => ?a  <20255>  ?b	0.01791639	0.490909091	0.818181818	27	55	33	?a	0.0	0.0	0.0
?b  <19803>  ?a   => ?a  <20185>  ?b	0.804143126	0.808712121	0.966063348	427	528	442	?a	0.0	0.0	0.0
?b  <20205>  ?a   => ?a  <19886>  ?b	0.02023957	0.426086957	0.924528302	49	115	53	?a	0.0	0.0	0.0
?a  <20421>  ?b   => ?a  <20360>  ?b	0.011160714	0.042735043	1	5	117	5	?a	0.0	0.0	0.0
?b  <20100>  ?a   => ?a  <20409>  ?b	0.901639344	0.93220339	1	110	118	110	?a	0.0	0.0	0.0
?b  <19852>  ?a   => ?a  <20072>  ?b	0.019566737	0.318181818	0.8	28	88	35	?a	0.0	0.0	0.0
?a  <19776>  ?b   => ?a  <20072>  ?b	0.237596087	0.405727924	0.837438424	340	838	406	?a	0.0	0.0	0.0
?a  <20152>  ?b   => ?a  <20072>  ?b	0.046121593	0.150684932	0.825	66	438	80	?a	0.0	0.0	0.0
?b  <19709>  ?a   => ?a  <19956>  ?b	0.730580645	0.737431623	0.844066786	2831	3839	3354	?b	0.0	0.0	0.0
?b  <20144>  ?a   => ?a  <19956>  ?b	0.010322581	0.689655172	0.833333333	40	58	48	?b	0.0	0.0	0.0
?b  <19950>  ?a   => ?a  <19954>  ?b	0.724770642	0.711711712	1	79	111	79	?a	0.0	0.0	0.0
?b  <20251>  ?a   => ?a  <20557>  ?b	0.114035088	0.684210526	0.8125	13	19	16	?a	0.0	0.0	0.0
?a  <19886>  ?b   => ?a  <19953>  ?b	0.01242236	0.000826105	1	2	2421	2	?a	0.0	0.0	0.0
?b  <19852>  ?a   => ?a  <19776>  ?b	0.035799523	0.340909091	0.810810811	30	88	37	?a	0.0	0.0	0.0
?b  <19684>  ?a   => ?a  <19776>  ?b	0.063245823	0.370629371	0.981481481	53	143	54	?a	0.0	0.0	0.0
?b  <20516>  ?a   => ?a  <19913>  ?b	0.565891473	0.077908218	0.960526316	73	937	76	?b	0.0	0.0	0.0
?b  <20409>  ?a   => ?a  <20100>  ?b	0.93220339	0.901639344	1	110	122	110	?a	0.0	0.0	0.0
?b  <20131>  ?a   => ?a  <20100>  ?b	0.084745763	0.008271299	0.833333333	10	1209	12	?a	0.0	0.0	0.0
?b  <20185>  ?a   => ?a  <19803>  ?b	0.808712121	0.804143126	0.957399103	427	531	446	?a	0.0	0.0	0.0
?b  <20543>  ?a   => ?a  <20516>  ?b	0.017075774	0.380952381	1	16	42	16	?a	0.0	0.0	0.0
?b  <19726>  ?a   => ?a  <20516>  ?b	0.055496265	0.666666667	0.8125	52	78	64	?a	0.0	0.0	0.0
?a  <20239>  ?b   => ?a  <20377>  ?b	0.123966942	0.454545455	0.882352941	15	33	17	?b	0.0	0.0	0.0
?a  <19996>  ?b   => ?a  <20377>  ?b	0.033057851	0.8	0.8	4	5	5	?b	0.0	0.0	0.0
?b  <19910>  ?a   => ?a  <20199>  ?b	0.039215686	0.571428571	1	4	7	4	?a	0.0	0.0	0.0
?a  <20057>  ?b   => ?a  <20199>  ?b	0.058823529	0.01754386	1	6	342	6	?a	0.0	0.0	0.0
?b  <20508>  ?a   => ?a  <20515>  ?b	0.091503268	0.708860759	0.949152542	56	79	59	?a	0.0	0.0	0.0
?b  <19954>  ?a   => ?a  <19950>  ?b	0.711711712	0.724770642	0.9875	79	109	80	?a	0.0	0.0	0.0
?b  <19997>  ?a   => ?a  <20375>  ?b	0.343173432	0.586134454	0.830357143	279	476	336	?b	0.0	0.0	0.0
?b  <20326>  ?a   => ?a  <20008>  ?b	0.54950495	0.555	0.965217391	111	200	115	?a	0.0	0.0	0.0
?b  <19789>  ?a   => ?a  <20483>  ?b	0.013118063	0.565217391	0.866666667	13	23	15	?a	0.0	0.0	0.0
?b  <19901>  ?a   => ?a  <20512>  ?b	0.023529412	0.003344482	0.8	4	1196	5	?b	0.0	0.0	0.0
?a  <19841>  ?b   => ?a  <19730>  ?b	0.022222222	0.896551724	0.928571429	26	29	28	?b	0.0	0.0	0.0
?a  <19886>  ?b   => ?a  <20155>  ?b	0.209713024	0.039239983	0.863636364	95	2421	110	?a	0.0	0.0	0.0
?b  <20447>  ?a   => ?a  <20263>  ?b	0.020064493	0.173913043	0.861538462	56	322	65	?a	0.0	0.0	0.0
?b  <19710>  ?a   => ?a  <19967>  ?b	0.049371216	0.572972973	0.841269841	106	185	126	?a	0.0	0.0	0.0
?a  <19953>  ?b   => ?a  <19749>  ?b	0.349765258	0.925465839	0.955128205	149	161	156	?a	0.0	0.0	0.0
?b  <19852>  ?a   => ?a  <20152>  ?b	0.03652968	0.181818182	1	16	88	16	?a	0.0	0.0	0.0
?a  <19776>  ?b   => ?a  <20152>  ?b	0.155251142	0.081145585	0.839506173	68	838	81	?a	0.0	0.0	0.0
?a  <20166>  ?b   => ?a  <20152>  ?b	0.02283105	0.5	1	10	20	10	?a	0.0	0.0	0.0
?a  <20072>  ?b   => ?a  <20152>  ?b	0.150684932	0.046121593	0.857142857	66	1431	77	?a	0.0	0.0	0.0
?b  <19956>  ?a   => ?a  <19709>  ?b	0.737431623	0.730580645	0.843815201	2831	3875	3355	?b	0.0	0.0	0.0
?a  <20144>  ?b   => ?a  <19709>  ?b	0.010940349	0.724137931	0.933333333	42	58	45	?b	0.0	0.0	0.0
?b  <20357>  ?a   => ?a  <20082>  ?b	0.564171123	0.530150754	0.808429119	422	796	522	?a	0.0	0.0	0.0
?b  <20385>  ?a   => ?a  <19677>  ?b	0.152380952	0.941176471	0.941176471	32	34	34	?a	0.0	0.0	0.0
?b  <19919>  ?a   => ?a  <19705>  ?b	0.544696067	0.537015276	0.818996416	457	851	558	?b	0.0	0.0	0.0
?b  <20387>  ?a   => ?a  <20387>  ?b	0.818965517	0.818965517	0.840707965	190	232	226	?b	0.0	0.0	0.0
?b  <19861>  ?a   => ?a  <19853>  ?b	0.012773723	0.677419355	0.913043478	21	31	23	?a	0.0	0.0	0.0
?b  <20199>  ?a   => ?a  <19812>  ?b	0.034653465	0.068627451	1	7	102	7	?a	0.0	0.0	0.0
?b  <19793>  ?a   => ?a  <19810>  ?b	0.553167421	0.546979866	0.851916376	489	894	574	?b	0.0	0.0	0.0
?a  <20199>  ?b   => ?a  <20057>  ?b	0.01754386	0.058823529	1	6	102	6	?a	0.0	0.0	0.0
?b  <19976>  ?a   => ?a  <20562>  ?b	0.050931677	0.386792453	0.987951807	82	212	83	?a	0.0	0.0	0.0
?b  <19729>  ?a   => ?a  <20233>  ?b	0.539106145	0.528043776	0.814345992	386	731	474	?a	0.0	0.0	0.0
?b  <20115>  ?a   => ?a  <20411>  ?b	0.03	0.6	1	6	10	6	?b	0.0	0.0	0.0
?b  <20414>  ?a   => ?a  <20411>  ?b	0.01	0.25	1	2	8	2	?b	0.0	0.0	0.0
?a  <19712>  ?b   => ?a  <20411>  ?b	0.01	0.666666667	1	2	3	2	?b	0.0	0.0	0.0
?b  <20144>  ?a   => ?a  <19798>  ?b	0.014450867	0.172413793	1	10	58	10	?a	0.0	0.0	0.0
?b  <20562>  ?a   => ?a  <19976>  ?b	0.386792453	0.050931677	1	82	1610	82	?b	0.0	0.0	0.0
?b  <19763>  ?a   => ?a  <20231>  ?b	0.106628242	0.74	1	37	50	37	?a	0.0	0.0	0.0
?a  <19765>  ?b   => ?a  <19717>  ?b	0.01754386	0.071428571	1	2	28	2	?a	0.0	0.0	0.0
?b  <20246>  ?a   => ?a  <20012>  ?b	0.021327014	0.642857143	1	9	14	9	?a	0.0	0.0	0.0
?b  <20528>  ?a   => ?a  <20012>  ?b	0.011848341	0.625	1	5	8	5	?a	0.0	0.0	0.0
?a  <20464>  ?b   => ?a  <19716>  ?b	0.02006689	0.08	1	24	300	24	?a	0.0	0.0	0.0
?a  <20069>  ?b   => ?a  <19716>  ?b	0.017558528	0.411764706	0.807692308	21	51	26	?a	0.0	0.0	0.0
?a  <20239>  ?b   => ?a  <19716>  ?b	0.014214047	0.515151515	1	17	33	17	?a	0.0	0.0	0.0
?b  <20187>  ?a   => ?a  <19933>  ?b	0.660777385	0.659611993	0.951653944	374	567	393	?a	0.0	0.0	0.0
?b  <19798>  ?a   => ?a  <20318>  ?b	0.040697674	0.030346821	0.84	21	692	25	?b	0.0	0.0	0.0
?b  <20021>  ?a   => ?a  <20319>  ?b	0.01183432	0.142857143	0.8	4	28	5	?a	0.0	0.0	0.0
?a  <19830>  ?b   => ?a  <20248>  ?b	0.012687428	0.5	1	11	22	11	?b	0.0	0.0	0.0
?b  <20082>  ?a   => ?a  <20357>  ?b	0.530150754	0.564171123	0.821011673	422	748	514	?a	0.0	0.0	0.0
?b  <20355>  ?a   => ?a  <20317>  ?b	0.010526316	0.666666667	1	2	3	2	?a	0.0	0.0	0.0
?b  <19810>  ?a   => ?a  <19793>  ?b	0.546979866	0.553167421	0.837328767	489	884	584	?a	0.0	0.0	0.0
?b  <19776>  ?a   => ?a  <19684>  ?b	0.370629371	0.063245823	0.929824561	53	838	57	?b	0.0	0.0	0.0
?a  <20021>  ?b   => ?a  <19684>  ?b	0.055944056	0.285714286	1	8	28	8	?b	0.0	0.0	0.0
?b  <20152>  ?a   => ?a  <19684>  ?b	0.048951049	0.015981735	0.875	7	438	8	?b	0.0	0.0	0.0
?a  <19879>  ?b   => ?a  <19931>  ?b	0.100286533	0.454545455	0.875	35	77	40	?a	0.0	0.0	0.0
?a  <20042>  ?b   => ?a  <19931>  ?b	0.085959885	0.441176471	0.909090909	30	68	33	?a	0.0	0.0	0.0
?a  <20421>  ?b   => ?a  <20464>  ?b	0.02	0.051282051	1	6	117	6	?a	0.0	0.0	0.0
?a  <20391>  ?b   => ?a  <20464>  ?b	0.01	0.018292683	1	3	164	3	?a	0.0	0.0	0.0
?b  <20136>  ?a   => ?a  <20136>  ?b	0.735027223	0.735027223	0.968899522	405	551	418	?b	0.0	0.0	0.0
?b  <19790>  ?a   => ?a  <20136>  ?b	0.014519056	0.156862745	0.8	8	51	10	?b	0.0	0.0	0.0
?a  <19790>  ?b   => ?a  <20136>  ?b	0.014519056	0.156862745	0.8	8	51	10	?b	0.0	0.0	0.0
?b  <19967>  ?a   => ?a  <19710>  ?b	0.572972973	0.049371216	0.990654206	106	2147	107	?b	0.0	0.0	0.0
?b  <20360>  ?a   => ?a  <19710>  ?b	0.032432432	0.013392857	1	6	448	6	?b	0.0	0.0	0.0
?b  <20094>  ?a   => ?a  <19710>  ?b	0.016216216	0.111111111	1	3	27	3	?b	0.0	0.0	0.0
?a  <20090>  ?b   => ?a  <20135>  ?b	0.040669856	0.515151515	0.894736842	17	33	19	?a	0.0	0.0	0.0
