Loading files... 
  Starting triples_en.txt
  Finished triples_en.txt, still running: 0
Loaded 93484 facts in 0.87 s using 34 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.8
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 2 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  <20445>  ?a   => ?a  <20311>  ?b	0.013422819	0.5	1	2	4	2	?b	0.0	0.0	0.0
?a  <20666>  ?b   => ?a  <20698>  ?b	0.034782609	0.75	0.923076923	60	80	65	?a	0.0	0.0	0.0
?b  <19930>  ?a   => ?a  <19906>  ?b	0.664359862	0.628992629	0.920863309	768	1221	834	?a	0.0	0.0	0.0
?b  <19869>  ?a   => ?a  <19981>  ?b	0.613995485	0.609865471	0.915824916	544	892	594	?a	0.0	0.0	0.0
?b  <20830>  ?a   => ?a  <20830>  ?b	0.034883721	0.034883721	1	6	172	6	?a	0.0	0.0	0.0
?b  <19915>  ?a   => ?a  <20830>  ?b	0.011627907	1	1	2	2	2	?a	0.0	0.0	0.0
?a  <19950>  ?b   => ?a  <20830>  ?b	0.023255814	0.173913043	0.8	4	23	5	?a	0.0	0.0	0.0
?b  <20578>  ?a   => ?a  <20038>  ?b	0.631084543	0.623628692	0.90897909	739	1185	813	?a	0.0	0.0	0.0
?b  <20282>  ?a   => ?a  <20255>  ?b	0.294964029	0.518987342	0.911111111	41	79	45	?a	0.0	0.0	0.0
?b  <20246>  ?a   => ?a  <20255>  ?b	0.071942446	0.002475248	0.909090909	10	4040	11	?a	0.0	0.0	0.0
?b  <20573>  ?a   => ?a  <20255>  ?b	0.043165468	0.75	1	6	8	6	?a	0.0	0.0	0.0
?a  <20200>  ?b   => ?a  <20255>  ?b	0.043165468	0.857142857	1	6	7	6	?a	0.0	0.0	0.0
?a  <19807>  ?b   => ?a  <20255>  ?b	0.028776978	1	1	4	4	4	?a	0.0	0.0	0.0
