Loading files... 
  Starting triples_zh.txt
  Finished triples_zh.txt, still running: 0
Loaded 70414 facts in 0.47 s using -56 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.8
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 2 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  <20284>  ?a   => ?a  <20618>  ?b	0.019230769	0.444444444	1	4	9	4	?a	0.0	0.0	0.0
?b  <20367>  ?a   => ?a  <20618>  ?b	0.014423077	0.272727273	1	3	11	3	?a	0.0	0.0	0.0
?a  <19657>  ?b   => ?a  <20618>  ?b	0.028846154	0.272727273	1	6	22	6	?a	0.0	0.0	0.0
?a  <20129>  ?b   => ?a  <20998>  ?b	0.031496063	0.153846154	1	4	26	4	?b	0.0	0.0	0.0
?a  <19442>  ?b   => ?a  <20998>  ?b	0.015748031	0.033898305	1	2	59	2	?b	0.0	0.0	0.0
?a  <20402>  ?b   => ?a  <19652>  ?b	0.021126761	0.171428571	0.857142857	6	35	7	?a	0.0	0.0	0.0
?b  <19433>  ?a   => ?a  <19433>  ?b	0.481751825	0.481751825	0.916666667	66	137	72	?b	0.0	0.0	0.0
?b  <19598>  ?a   => ?a  <20581>  ?b	0.024786325	0.223076923	0.805555556	29	130	36	?a	0.0	0.0	0.0
?b  <20002>  ?a   => ?a  <20581>  ?b	0.07008547	0.621212121	0.82	82	132	100	?a	0.0	0.0	0.0
?b  <20745>  ?a   => ?a  <20471>  ?b	0.028846154	0.375	1	3	8	3	?a	0.0	0.0	0.0
?b  <20653>  ?a   => ?a  <20471>  ?b	0.509615385	0.563829787	0.946428571	53	94	56	?a	0.0	0.0	0.0
?b  <20569>  ?a   => ?a  <21016>  ?b	0.035714286	0.361111111	1	13	36	13	?b	0.0	0.0	0.0
?b  <20325>  ?a   => ?a  <20500>  ?b	0.017167382	0.125	0.8	4	32	5	?a	0.0	0.0	0.0
?b  <19820>  ?a   => ?a  <20500>  ?b	0.017167382	0.0030326	0.8	4	1319	5	?a	0.0	0.0	0.0
?b  <20406>  ?a   => ?a  <20994>  ?b	0.018404908	0.6	1	3	5	3	?b	0.0	0.0	0.0
?b  <19818>  ?a   => ?a  <20994>  ?b	0.018404908	0.428571429	1	3	7	3	?b	0.0	0.0	0.0
?b  <20481>  ?a   => ?a  <20994>  ?b	0.012269939	0.4	1	2	5	2	?b	0.0	0.0	0.0
?b  <20422>  ?a   => ?a  <19598>  ?b	0.061538462	0.021052632	0.8	8	380	10	?b	0.0	0.0	0.0
?b  <19899>  ?a   => ?a  <19489>  ?b	0.782894737	0.80952381	0.991666667	119	147	120	?a	0.0	0.0	0.0
?a  <20292>  ?b   => ?a  <20803>  ?b	0.04375	0.411764706	0.875	7	17	8	?a	0.0	0.0	0.0
?a  <20799>  ?b   => ?a  <20227>  ?b	0.020344288	0.866666667	1	13	15	13	?a	0.0	0.0	0.0
?b  <19657>  ?a   => ?a  <20859>  ?b	0.011494253	0.227272727	0.833333333	5	22	6	?b	0.0	0.0	0.0
?a  <19535>  ?b   => ?a  <20859>  ?b	0.013793103	0.206896552	0.857142857	6	29	7	?b	0.0	0.0	0.0
?a  <20128>  ?b   => ?a  <20859>  ?b	0.013793103	0.075949367	0.857142857	6	79	7	?b	0.0	0.0	0.0
?b  <19489>  ?a   => ?a  <19899>  ?b	0.80952381	0.782894737	0.991666667	119	152	120	?b	0.0	0.0	0.0
?b  <20936>  ?a   => ?a  <20660>  ?b	0.043956044	1	1	8	8	8	?b	0.0	0.0	0.0
?b  <21008>  ?a   => ?a  <20002>  ?b	0.022727273	0.045454545	1	3	66	3	?b	0.0	0.0	0.0
?b  <19935>  ?a   => ?a  <21061>  ?b	0.249134948	0.309012876	0.827586207	72	233	87	?a	0.0	0.0	0.0
?b  <20096>  ?a   => ?a  <20852>  ?b	0.736842105	0.753846154	0.984924623	196	260	199	?a	0.0	0.0	0.0
